,review-star-rating,review-title,review-date,avp-badge,review-body,helpful-vote-statement,review-id,review-image-tile,product_name,ASIN,star_rating,product_id,helpful_votes
33,5.0 out of 5 stars,Awsm quality,2018-11-27,Verified Purchase,Very good product.. case looks very premium.. fits perfectly to Mi A2 and it does protect camera bump.. Very good product.. Recommended for every Mi A2 user..,3 people found this helpful,R8HSJZD6J0TS0,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,3
34,5.0 out of 5 stars,Good case,2018-09-23,Verified Purchase,"It covers it's camera number fully ,that's all what I needed this cover for",2 people found this helpful,R2HOF5KV7CHL84,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,2
35,3.0 out of 5 stars,Stand is mechanism a joke..,2018-12-12,Verified Purchase,"The rubber loop comes out of the back within a week itself thus defeating the purpose of having a stand.Rest ,the case is sturdy and will take the daily beatings easily.",,R2V42X97EV8VCE,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,3.0,B07VZ5TNCQ,0
36,5.0 out of 5 stars,Perfect fit,2019-01-03,Verified Purchase,Perfect fit excellent quality,,R3FKGLETG1BAMQ,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,0
37,5.0 out of 5 stars,Review,2019-04-24,Verified Purchase,Product quality is good and smooth,,R1WGB4D3A3TQPM,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,0
38,5.0 out of 5 stars,Beat case ever,2019-07-10,Verified Purchase,Best case ever.,,R21ECST7ZBKXYA,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,0
39,5.0 out of 5 stars,Good case,2018-09-21,Verified Purchase,"Looking good, camera lens protected",One person found this helpful,R1678HX37KMFGL,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,One
40,5.0 out of 5 stars,Go for it,2019-10-11,Verified Purchase,"Very nice for A2 mobile,",,R1O9N0EWIKM73I,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,0
41,3.0 out of 5 stars,Handy & Versatile,2019-10-15,Verified Purchase,Handy & versatile .... but ..... wish they had given a small usb cord too. Personal suggestion the prefers  way to use it is with a power bank,,R2MVM3K1T1F72N,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,3.0,B0799LXN7K,0
42,5.0 out of 5 stars,Very handy,2019-07-22,Verified Purchase,Excellent product for I watch,One person found this helpful,R1GVM8FYC6X8WO,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,5.0,B0799LXN7K,One
43,1.0 out of 5 stars,Useless product,2019-11-20,Verified Purchase,"Useless product. Apple Watch charging keeps on disconnecting. Stopped using it, in order to save my product. Complete waste of hard earned money.",,R15LTVFCFH81TK,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,1.0,B0799LXN7K,0
44,5.0 out of 5 stars,Super,2019-02-12,Verified Purchase,Nice product,,R3KSB5KUVZ2U2,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,5.0,B0799LXN7K,0
45,1.0 out of 5 stars,No good,2019-10-23,Verified Purchase,Not good connection to usb is not proper and the charging keeps switching on and off continously,,R3SQRVZA0BATI4,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,1.0,B0799LXN7K,0
46,1.0 out of 5 stars,Does not work,2019-10-19,Verified Purchase,Does not work do not buy,,R1UJI2QK6RECSY,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,1.0,B0799LXN7K,0
47,5.0 out of 5 stars,Recommend products,2019-11-30,Verified Purchase,"Great products, I am use it on travel, it’s charge quick then other charger",,R2ZC6K44RQWF3T,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,5.0,B0799LXN7K,0
48,3.0 out of 5 stars,Small Form Factor Charger for the Apple Watch,2019-09-09,Verified Purchase,I just started using it yesterday so only a day old review. The product has a very small factor and unlike the magnetic puck that comes standard with the watch this product connects straight to a USB port. I am using it to charge my Apple Watch 4 and it is working as expected. The watch charged to 100% in approximately an hour. Good device to keep while travelling or at your Office desk. The Watch can only be placed with the crown facing outwards due to the small form factor of the magnetic puck.Dropping one star from my earlier one as the charger works intermittently now.,One person found this helpful,R229ABW185TSY6,,AE-Accessories-Wireless-USB-Compatible,B0799LXN7K,3.0,B0799LXN7K,One
49,5.0 out of 5 stars,Get the plastic variant.,2019-05-06,Verified Purchase,"Regd the Black Plastic Variant.Disclosure - I received a coupon from the seller to try out the plastic variant after I was dissatisfied with the aluminium variant.This one looks quite good. the customisable felt pads are a nice touch. Have not faced issue with charging on this one.Plastic material feels firm and comes with an option to stick to the table.The below applies to the aluminium variant,The aluminium stand has odd proportions causing watches to have a small gap between bottom of watch and the bottom of the stand, (when connected to the charging cable) causing the watch to slowly drop from the magnetic charger.As a result I often find the watch disconnected after a day or so - with 10% charge left.EDIT: After a a month or so of use, I'm bumping it up to 3 stars. I've discovered that this works better with the Apple Watch charging cable that came with the watch - rather than the replacement cable (also from Apple). My theory is that the replacement cable is not magnetic enough and causes the watch to slip quite easily. The in-box cable takes a day or two to slip. To prevent the slipping problem completely, I've used a flat piece of wood (about 2 mm thick) over the silicone/rubber mat under the watch. This ensures that the watch doesn't drop too much and works to keep it charging.Would I recommend it over other stands - probably no. But considering the lack of accessories for the Apple Watch in India - I'd say this is better than nothing. I can work with it.(tested with Series 3, 42mm)",2 people found this helpful,R1RK000FMBMTRE,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,2
50,5.0 out of 5 stars,Gelink is superb,2019-04-10,Verified Purchase,"This product is perfect for Apple watch series 4, 44 mm charging dock. It fits precisely with Original Apple watch magnetic charger. Aluminum construction and hardness is perfect. This less known product is really a worth purchase.",4 people found this helpful,R1IR88RKNOLCSP,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,4
51,5.0 out of 5 stars,Excellent fit,2019-11-04,Verified Purchase,Perfect snap-fit. Looks very minimal. No bulk at all.Easy to replace the straps.It looks non-existent to the untrained eye.Does not come with a tempered glass or a screen protector but the lip is raised by 1 mm.Definitely worth the price.,,R293TR8VE8GQ6U,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,0
52,5.0 out of 5 stars,recommended to all,2019-05-20,Verified Purchase,"the product is bit on the pricey  side but , the product is grate . i was so happy with my first order so i ordered another one for my wife ! if you are thinking to buy it order it already",One person found this helpful,R2UOKIRZBWRANR,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,One
53,5.0 out of 5 stars,apple phone charges is placed ideally for daily charging,2019-11-05,Verified Purchase,very helpful handy sexy device I love,,RXJYUIPJAN58E,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,0
54,3.0 out of 5 stars,Costly stuff,2019-11-23,Verified Purchase,Bit costly. Worth for 250 max.,,R2K2X4Z5K5P8VE,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,3.0,B07MW1RZDQ,0
55,2.0 out of 5 stars,Not good,2019-06-04,Verified Purchase,not charging the watch as i was  expecting ya but u can keep just as a stand,,R21SZZACNXP9AU,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,2.0,B07MW1RZDQ,0
56,5.0 out of 5 stars,Useful,2019-11-03,Verified Purchase,Very good,,R22VPV8HD370TO,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,0
57,1.0 out of 5 stars,Wire doesn’t go through,2019-11-06,Verified Purchase,The wholes dont let the charging pass through. Too tight,,R1LCC2SIWD7LQA,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,1.0,B07MW1RZDQ,0
58,5.0 out of 5 stars,Good,2019-10-02,Verified Purchase,Good,,R1E9I6PF3SNGPX,,Gelink-Compatible-Apple-Midnight-Silver,B07MW1RZDQ,5.0,B07MW1RZDQ,0
59,2.0 out of 5 stars,Not good,2019-11-18,Verified Purchase,Magnetic charger not working properly and magnet is not good enough to stick to the watch,3 people found this helpful,R2KKOCEH4HE21V,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,2.0,B07ZTC2VNG,3
60,5.0 out of 5 stars,Price worthy,2019-11-08,,Nice product. Saves me a lot of headaches in finding sockets. Magnetic charger works nice too,3 people found this helpful,R397OSH9F1DLAT,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,3
61,5.0 out of 5 stars,Value for money magnet charger works nice  to,2019-12-04,,Product is nice  value  worth of it,,R3A8H8JXCBJMZQ,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
62,5.0 out of 5 stars,Impressive Charging Cable For Apple Devices!,2019-12-02,Verified Purchase,"As a tech person, I am invested in the Apple ecosystem. To ensure that I do not have to worry about charging each one of them separately, I had to look out for something that can charge multiple devices at once.That's why I got the Trajectory 3 in 1 Wireless Charging Cable.The length of the cable is 1 M, which I think is more than enough. The small size also means that I can carry it around without worrying about space constraints.Thinks that I liked- Multiple charging ports- It comes with wireless charging for Apple Series 1/2/3 watches. It is magnetic in nature- Good quality cable built using thick copper cable- Standard size- Works nicely when charging three devices at once.The charger also has proper protection mechanisms, including over-voltage protection, over current protection, and temperature protection.Things that I think can be improved- Pricing can be better- A carry case would have been a great addition to itIf you liked my review, then do click the helpful button. This will motivate me to write more detailed reviews!",,R165F6MHAIAJN5,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
63,5.0 out of 5 stars,The quality is better than I expected,2019-12-04,,Easily charging my apple devices specially the woreless charging is awesome the dock is of pretty good quality the wire is long enough to reach 3 devices simultaneously.,,R1WS2C6EQGHX2U,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
64,1.0 out of 5 stars,Apple watch charger doesn't work properly,2019-11-28,Verified Purchase,Apple watch charger doesn't work properly,One person found this helpful,R2Q02KAA607W96,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,1.0,B07ZTC2VNG,One
65,4.0 out of 5 stars,QUALITY IS NORMAL.,2019-12-07,Verified Purchase,COMES WITH TWO LIGHTING CONNECTORS & APPLE WATCH MAGNETIC CONNECTOR.QUALITY IS NORMAL.WATCH DOESN'T STICKS ON WELL,,R2VC9PRWYIGSAW,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,4.0,B07ZTC2VNG,0
66,5.0 out of 5 stars,Good product,2019-11-29,Verified Purchase,"Worth of it, good product",One person found this helpful,R1PAMIE8VTBQ0,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,One
67,5.0 out of 5 stars,Nice product,2019-12-02,,"After a lot of research I finally decided to purchase this wireless charger. I have been using this for the past couple of weeks for my iPhone X.  It has been working well and charging is as expected. The main reason I purchased this is for 'convenience'. To insert & remove the charging cable from the iPhone each time, is a task. But with this, I place my iPhone , i watch , laptop too on the charger at same time .  Bcz  It is 3 in 1 . It is very convenient and hassle free.Overall, very happy with this product and recommend it.",,ROENO6SOAY19X,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
68,4.0 out of 5 stars,Nice product,2019-12-04,,Its fast charging.. Tottly worth of money it look cool,,R1G9RGQPBKE6MK,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,4.0,B07ZTC2VNG,0
69,5.0 out of 5 stars,WORKS WITH SERIES 2.,2019-10-01,Verified Purchase,My wife lost her cable for her new apple watch series 2. So we got this as a replacement and so far it working good. I wish it was a bit more lengthy but then she is not complaining so why should i?Works good. Kind of expensive but its an Apple certified so has to be expensive.,One person found this helpful,R301ZOK2SZHT6S,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,One
70,5.0 out of 5 stars,Must buy and alternate to Apple Watch charger usb cable,2019-08-14,Verified Purchase,Saved 2400 rupees by buying this Apple Watch charger.New Apple charger USB cable is 2900 and this product is just 699/- and it works perfectly like Apple usb cable.Must buy for everyone who’s looking for new one as alternate to original one.,One person found this helpful,RN707XFH8WFQD,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,One
71,1.0 out of 5 stars,Do not buy this product,2019-09-18,Verified Purchase,Please don't buy this item.This is not worth buying and does not even charge you watch and the quality is also not appropriate .,3 people found this helpful,R2WPHQHZ199AN4,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,1.0,B07V2P1SL5,3
72,5.0 out of 5 stars,Fast charging and good coupling,2019-10-31,Verified Purchase,"This is a magnetically coupled wireless USB charger for Apple watch charging.This provides pretty fast charging and is durable , the construction is simple and is portable can be taken at any place , it absorbs shock really well",,R30C2ZZ4IVJ5X7,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,0
73,4.0 out of 5 stars,Good product for series 3,2019-11-04,Verified Purchase,Good product. Although watch temperature increases a bit when charging from this as compared to the original dock charger.,2 people found this helpful,RSDWD3SJIY83K,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,4.0,B07V2P1SL5,2
74,5.0 out of 5 stars,satisfied,2019-11-02,Verified Purchase,really nice... works very fine... initially bit skeptical about its performance but after using it can easily say that its recommendable guys..,,R3HGBJD862VMGT,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,0
75,1.0 out of 5 stars,Not working,2019-09-06,Verified Purchase,Not even worth 1 star. Not working at all and ordered a replacement. Yet not working.,2 people found this helpful,R3M4VBA2YC9URZ,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,1.0,B07V2P1SL5,2
76,1.0 out of 5 stars,Doesn't even work!,2019-11-24,Verified Purchase,"The charger doesn't work at all, completely misleading look and name, doesn't even charge. Ordering directly from apple website will save my money and effort. Absolutely pathetic. Need to hold it in hand yet stopped charging. That too on day 1. Please buy original only.",,R277TMOZGSTP44,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,1.0,B07V2P1SL5,0
77,5.0 out of 5 stars,Worth product..,2019-09-13,Verified Purchase,I lost my original apple watch charger and the original one was costing me more than 2000 rs but I found this apple watch charger which works exactly like my original charger and also half of the price of the original one loved it..Thank you!,,RSSSCIX2MZ1IU,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,0
78,5.0 out of 5 stars,✌️,2019-11-17,Verified Purchase,Works fine.. compatible with my apple watch,,R10KVYAW4L2N84,,VEROX-Wireless-Charger-iWatch-Charging,B07V2P1SL5,5.0,B07V2P1SL5,0
79,5.0 out of 5 stars,Worth for money,2019-05-03,Verified Purchase,This magnetic charging cable is original apple product. Don’t see the discount price. Buy it and feel the true product.,6 people found this helpful,R3MFX3T7TCVO2J,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,5.0,B07KBBSVRZ,6
80,1.0 out of 5 stars,Duplicate product received,2019-10-30,Verified Purchase,Product received with Apple product package seal open. Apple product box pasted with a normal tape. Cable placed in an open condition with 2 papers called as manual. Fake product for sure. Return request placed within 5 minutes.,One person found this helpful,R2S1ER5G40HB8E,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,1.0,B07KBBSVRZ,One
81,5.0 out of 5 stars,Original is original,2019-10-15,Verified Purchase,After trying third market chargers which failed complete I purchased this one and yes I must say original is original and I am never purchasing any third party accessories for Apple products.,One person found this helpful,R1D8DJ03NBGZCK,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,5.0,B07KBBSVRZ,One
82,5.0 out of 5 stars,Good delivery,2019-08-09,Verified Purchase,Well in condition,2 people found this helpful,R9WCDPZBUX1YJ,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,5.0,B07KBBSVRZ,2
83,5.0 out of 5 stars,Original Product.,2019-08-10,Verified Purchase,This is Original Apple Product.,2 people found this helpful,RWUUATHKY792,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,5.0,B07KBBSVRZ,2
84,5.0 out of 5 stars,Good quality,2019-11-21,Verified Purchase,This has a magnetic bottom with metal finish.,One person found this helpful,R3M25LK76PRM0G,,Apple-Watch-Magnetic-Charging-Cable,B07KBBSVRZ,5.0,B07KBBSVRZ,One
